purchase_amount,day_of_week,time_of_day,store_type,online_or_inperson,is_valid
441,Sunday,19,Grocery,Online,0
587,Sunday,20,Retail,In-Person,1
190,Friday,9,Restaurant,Online,0
404,Wednesday,23,Restaurant,In-Person,0
37,Thursday,21,Retail,In-Person,1
222,Thursday,5,Grocery,In-Person,1
171,Thursday,21,Online,In-Person,0
532,Tuesday,16,Restaurant,Online,1
915,Tuesday,17,Restaurant,In-Person,1
157,Wednesday,21,Grocery,Online,1
910,Thursday,2,Restaurant,In-Person,1
714,Monday,14,Online,In-Person,1
654,Thursday,20,Restaurant,Online,0
46,Tuesday,14,Online,Online,0
237,Wednesday,10,Grocery,Online,1
886,Friday,17,Retail,Online,0
181,Wednesday,7,Grocery,Online,1
220,Tuesday,15,Grocery,Online,0
455,Saturday,8,Retail,In-Person,0
413,Thursday,5,Restaurant,In-Person,1
407,Monday,9,Restaurant,Online,0
736,Monday,20,Online,In-Person,0
698,Wednesday,18,Retail,In-Person,0
379,Friday,1,Grocery,In-Person,0
866,Wednesday,23,Restaurant,Online,0
488,Wednesday,6,Restaurant,In-Person,0
406,Tuesday,4,Online,Online,0
119,Monday,9,Restaurant,In-Person,0
710,Wednesday,4,Retail,Online,1
162,Wednesday,1,Restaurant,In-Person,1
94,Sunday,2,Retail,In-Person,0
376,Sunday,19,Grocery,Online,1
114,Wednesday,23,Grocery,In-Person,1
452,Tuesday,5,Grocery,Online,1
437,Sunday,19,Restaurant,Online,0
35,Saturday,8,Online,Online,0
680,Wednesday,11,Online,Online,0
509,Thursday,22,Retail,Online,1
742,Sunday,15,Retail,In-Person,1
765,Tuesday,5,Grocery,Online,0
438,Friday,7,Restaurant,In-Person,0
191,Saturday,6,Restaurant,In-Person,0
1000,Friday,12,Online,In-Person,0
552,Saturday,6,Grocery,In-Person,1
399,Thursday,19,Grocery,Online,0
148,Thursday,14,Grocery,Online,1
320,Friday,4,Retail,In-Person,1
946,Tuesday,2,Restaurant,Online,0
901,Friday,9,Retail,Online,1
893,Saturday,4,Grocery,In-Person,1
538,Thursday,20,Retail,Online,1
41,Sunday,5,Retail,Online,1
538,Monday,19,Retail,In-Person,1
519,Wednesday,8,Restaurant,In-Person,1
885,Tuesday,1,Restaurant,In-Person,1
326,Saturday,0,Restaurant,In-Person,0
14,Monday,21,Restaurant,Online,0
339,Monday,13,Grocery,In-Person,0
551,Sunday,3,Restaurant,Online,1
930,Sunday,20,Restaurant,In-Person,1
615,Monday,17,Retail,Online,0
868,Tuesday,20,Retail,In-Person,1
735,Sunday,1,Restaurant,Online,1
736,Monday,9,Online,Online,1
269,Friday,3,Online,In-Person,1
149,Thursday,0,Grocery,In-Person,0
628,Wednesday,11,Grocery,Online,1
721,Friday,1,Grocery,In-Person,1
932,Sunday,12,Grocery,Online,1
946,Monday,20,Restaurant,Online,0
198,Monday,1,Online,In-Person,0
636,Tuesday,6,Retail,Online,0
9,Saturday,2,Grocery,In-Person,0
122,Wednesday,9,Online,In-Person,0
527,Friday,0,Grocery,In-Person,1
789,Monday,15,Online,Online,1
283,Monday,23,Grocery,Online,1
724,Saturday,16,Grocery,Online,0
156,Tuesday,4,Retail,In-Person,1
520,Friday,23,Retail,Online,1
6,Wednesday,7,Retail,Online,0
870,Monday,22,Grocery,In-Person,0
501,Thursday,13,Online,In-Person,0
211,Wednesday,1,Grocery,Online,1
306,Saturday,17,Retail,Online,1
123,Sunday,12,Grocery,In-Person,1
14,Thursday,21,Retail,Online,1
807,Wednesday,2,Grocery,In-Person,0
202,Monday,0,Online,Online,0
931,Saturday,0,Restaurant,Online,0
325,Thursday,5,Online,In-Person,1
725,Tuesday,13,Online,Online,0
487,Thursday,13,Restaurant,In-Person,0
348,Wednesday,8,Grocery,In-Person,0
270,Sunday,1,Online,Online,0
779,Wednesday,18,Retail,In-Person,1
279,Thursday,16,Grocery,Online,1
212,Thursday,3,Retail,Online,0
418,Sunday,21,Grocery,Online,1
321,Sunday,21,Retail,Online,1
349,Tuesday,2,Restaurant,In-Person,0
971,Tuesday,20,Online,In-Person,1
767,Sunday,5,Grocery,In-Person,1
956,Saturday,7,Online,In-Person,1
870,Thursday,8,Restaurant,Online,0
771,Saturday,23,Grocery,Online,0
605,Wednesday,15,Grocery,In-Person,1
3,Thursday,9,Restaurant,Online,1
890,Tuesday,16,Grocery,Online,1
295,Thursday,17,Online,Online,0
777,Monday,21,Grocery,Online,0
931,Friday,4,Grocery,In-Person,1
200,Tuesday,1,Grocery,In-Person,1
677,Thursday,23,Restaurant,In-Person,0
904,Saturday,23,Restaurant,Online,0
254,Wednesday,14,Restaurant,In-Person,1
616,Tuesday,6,Grocery,Online,1
542,Sunday,5,Restaurant,In-Person,0
143,Saturday,0,Online,Online,1
415,Friday,2,Grocery,In-Person,0
127,Sunday,3,Online,Online,1
877,Saturday,15,Grocery,In-Person,0
928,Saturday,11,Restaurant,Online,0
891,Sunday,16,Restaurant,In-Person,0
906,Sunday,23,Online,Online,1
748,Sunday,20,Restaurant,Online,0
30,Friday,0,Restaurant,Online,1
512,Saturday,13,Grocery,In-Person,0
609,Sunday,2,Online,In-Person,0
860,Friday,4,Retail,Online,0
324,Thursday,16,Grocery,Online,1
764,Saturday,8,Online,Online,1
599,Monday,0,Restaurant,In-Person,0
787,Thursday,19,Restaurant,Online,1
668,Saturday,11,Restaurant,In-Person,1
584,Thursday,15,Retail,In-Person,0
595,Tuesday,18,Restaurant,In-Person,0
597,Sunday,6,Grocery,In-Person,0
762,Monday,3,Restaurant,In-Person,1
169,Wednesday,7,Retail,In-Person,1
297,Thursday,5,Online,In-Person,1
753,Monday,4,Restaurant,In-Person,1
109,Friday,7,Restaurant,In-Person,1
527,Monday,4,Restaurant,In-Person,1
612,Thursday,23,Retail,Online,0
838,Friday,15,Retail,Online,1
951,Wednesday,11,Online,Online,0
713,Tuesday,1,Restaurant,In-Person,0
154,Wednesday,9,Retail,In-Person,1
208,Monday,16,Grocery,Online,1
109,Saturday,21,Online,Online,1
525,Friday,16,Online,In-Person,1
496,Monday,20,Online,Online,1
181,Sunday,13,Grocery,In-Person,0
169,Tuesday,1,Online,In-Person,0
707,Friday,5,Retail,Online,0
453,Monday,12,Online,In-Person,0
826,Sunday,13,Restaurant,Online,1
845,Tuesday,19,Grocery,In-Person,0
667,Thursday,13,Grocery,Online,1
323,Sunday,14,Retail,In-Person,1
774,Thursday,11,Restaurant,In-Person,1
299,Tuesday,19,Retail,Online,0
216,Thursday,14,Restaurant,Online,0
692,Friday,13,Restaurant,In-Person,0
485,Thursday,19,Restaurant,In-Person,0
243,Thursday,7,Restaurant,In-Person,0
57,Saturday,10,Retail,Online,0
164,Sunday,14,Retail,Online,0
90,Wednesday,23,Online,In-Person,1
870,Wednesday,1,Retail,In-Person,1
157,Saturday,20,Grocery,In-Person,1
921,Thursday,7,Retail,Online,1
615,Friday,6,Online,Online,1
150,Sunday,3,Retail,In-Person,0
441,Wednesday,19,Grocery,Online,0
404,Sunday,21,Restaurant,Online,0
59,Sunday,10,Online,Online,1
861,Thursday,3,Online,Online,0
52,Monday,11,Restaurant,Online,0
514,Thursday,16,Retail,Online,0
719,Tuesday,3,Online,Online,0
250,Monday,17,Grocery,In-Person,1
162,Tuesday,1,Retail,Online,0
316,Wednesday,18,Retail,In-Person,0
981,Friday,20,Online,In-Person,0
811,Tuesday,6,Restaurant,Online,0
57,Friday,7,Retail,In-Person,1
473,Thursday,14,Restaurant,In-Person,1
390,Thursday,16,Online,Online,1
254,Thursday,18,Retail,In-Person,1
201,Tuesday,14,Online,In-Person,0
637,Friday,22,Online,Online,1
195,Saturday,16,Online,In-Person,1
964,Friday,15,Online,In-Person,0
287,Thursday,22,Restaurant,Online,0
139,Monday,5,Retail,Online,1
805,Monday,0,Online,In-Person,0
878,Sunday,6,Restaurant,In-Person,0
78,Tuesday,13,Online,In-Person,0
110,Tuesday,22,Grocery,Online,1
307,Sunday,11,Online,In-Person,1
417,Friday,22,Retail,Online,1
765,Friday,22,Restaurant,In-Person,0
517,Friday,10,Retail,Online,0
569,Tuesday,8,Retail,In-Person,1
998,Saturday,16,Online,Online,1
175,Sunday,21,Grocery,Online,0
436,Friday,5,Online,Online,0
619,Wednesday,2,Retail,Online,1
134,Saturday,9,Retail,In-Person,1
667,Sunday,22,Grocery,In-Person,0
